asin_parent,asin_child,titulo,sesiones_aplicaciones_de_dispositivos_moviles,sesiones_aplicaciones_de_dispositivos_moviles_b2b,sesiones_navegador,sesiones_navegador_b2b,sesiones_total,sesiones_total_b2b,porcentaje_de_sesiones_aplicacion_movil,porcentaje_de_sesiones_aplicacion_movil_b2b,porcentaje_de_sesiones_navegador,porcentaje_de_sesiones_navegador_b2b,porcentaje_de_sesiones_total,porcentaje_de_sesiones_total_b2b,visitas_de_pagina_aplicacion_de_dispositivo_movil,visitas_aplicaciones_de_dispositivos_moviles_b2b,visitas_navegador,visitas_navegador_b2b,visitas_total,visitas_total_b2b,porcentaje_de_visitas_a_la_pagina_aplicacion_movil,porcentaje_de_visitas_aplicacion_movil_b2b,porcentaje_de_visitas_navegador,porcentaje_de_visitas_navegador_b2b,porcentaje_de_visitas_total,porcentaje_de_visitas_total_b2b,porcentaje_de_ofertas_destacadas_buy_box,porcentaje_de_ofertas_destacadas_b2b,unidades_encargadas,unidades_encargadas_b2b,porcentaje_de_unidades_por_sesion,porcentaje_de_sesiones_de_unidades_b2b,ventas_de_productos_encargados,ventas_de_productos_encargados_b2b,total_de_articulos_de_un_pedido,total_de_articulos_de_un_pedido_b2b
B0BTDS4GYS,B0BTDS4GYS,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,7484,78,3591,80,11075,158,0.2738,0.18309999999999998,0.2662,0.1307,0.2713,0.1522,11675,118,5023,114,16698,232,0.2882,0.1885,0.2798,0.1313,0.28559999999999997,0.1553,0.8964,0.3418,542,1,0.0489,0.0063,13905.65,25.0,529,1
B094X476RL,B0786KK4TG,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul,4547,98,2348,139,6895,237,0.1664,0.23,0.1741,0.2271,0.1689,0.22829999999999998,7023,154,3120,196,10143,350,0.17329999999999998,0.24600000000000002,0.17379999999999998,0.22579999999999997,0.17350000000000002,0.2343,0.9823999999999999,0.9671,442,16,0.0641,0.0675,8991.0,326.53,433,15
B07ZTHSVCK,B07ZTHSVCK,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,3270,60,1694,98,4964,158,0.11960000000000001,0.1408,0.12560000000000002,0.16010000000000002,0.1216,0.1522,4648,95,2153,139,6801,234,0.11470000000000001,0.1518,0.12,0.16010000000000002,0.11630000000000001,0.1566,0.9917,1.0,224,11,0.0451,0.0696,9394.8,441.9,221,10
B0BTDTVCG2,B0BTDTVCG2,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Blanco,1744,24,765,35,2509,59,0.0638,0.056299999999999996,0.0567,0.0572,0.061500000000000006,0.056799999999999996,2636,44,974,43,3610,87,0.06509999999999999,0.0703,0.054299999999999994,0.0495,0.0617,0.0582,0.9299,0.4839,192,5,0.0765,0.08470000000000001,3839.5,96.53,185,4
B0C7B3V62X,B07ZTHSVCK,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,3306,63,1688,60,4994,123,0.121,0.1479,0.1251,0.098,0.1223,0.1185,4744,88,2155,80,6899,168,0.11710000000000001,0.1406,0.1201,0.0922,0.11800000000000001,0.1124,0.9837,1.0,177,5,0.0354,0.0407,7421.41,199.95,175,5
B094X476RL,B0BTDTVCG2,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Blanco,1664,16,792,42,2456,58,0.060899999999999996,0.037599999999999995,0.0587,0.06860000000000001,0.0602,0.0559,2462,17,1046,70,3508,87,0.0608,0.027200000000000002,0.0583,0.0806,0.06,0.0582,0.9148999999999999,0.6078,157,2,0.0639,0.0345,3127.87,33.06,152,2
B094X476RL,B0D87X42RN,TUBOPLUS X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Dorado,577,9,317,22,894,31,0.021099999999999997,0.021099999999999997,0.0235,0.0359,0.0219,0.029900000000000003,762,11,417,32,1179,43,0.018799999999999997,0.0176,0.0232,0.0369,0.0202,0.0288,0.9902,1.0,120,3,0.13419999999999999,0.0968,2403.28,58.0,116,3
B094X476RL,B0183RZ2VI,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Naranja,828,12,490,33,1318,45,0.030299999999999997,0.0282,0.0363,0.053899999999999997,0.0323,0.0434,1110,13,618,44,1728,57,0.0274,0.0208,0.0344,0.0507,0.0296,0.0382,0.5539999999999999,0.2647,60,1,0.0455,0.0222,1177.59,16.53,59,1
B094X476RL,B0BTDTN52N,TUBOPLUS X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Rosa,394,9,193,18,587,27,0.0144,0.021099999999999997,0.0143,0.0294,0.0144,0.026000000000000002,515,12,253,32,768,44,0.0127,0.0192,0.0141,0.0369,0.0131,0.029500000000000002,0.9937,1.0,59,2,0.1005,0.0741,1184.66,40.0,53,2
B0D22TBKFH,B0D22R7L7D, ,1161,22,512,21,1673,43,0.0425,0.0516,0.038,0.034300000000000004,0.040999999999999995,0.0414,1679,29,706,26,2385,55,0.0414,0.0463,0.0393,0.03,0.0408,0.0368,0.9915999999999999,1.0,53,3,0.0317,0.0698,1748.47,98.97,53,3
B0F1F1WKKS,B0F1F2PQPK,TUBOPLUS 29PSI X3e con Bomba - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 3 Pelotas | Bote Hermético | Incluye Inflador con Manómetro,413,7,209,10,622,17,0.0151,0.016399999999999998,0.0155,0.0163,0.0152,0.016399999999999998,566,7,297,12,863,19,0.013999999999999999,0.011200000000000002,0.0165,0.0138,0.0148,0.0127,0.9973000000000001,1.0,49,1,0.0788,0.0588,1982.31,42.0,47,1
B0BTDTN52N,B0BTDTN52N,TUBOPLUS X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Rosa,246,3,108,4,354,7,0.009000000000000001,0.006999999999999999,0.008,0.006500000000000001,0.0087,0.0067,372,4,142,7,514,11,0.0092,0.0064,0.0079,0.008100000000000001,0.0088,0.0074,0.9289000000000001,1.0,36,1,0.1017,0.1429,792.36,22.0,35,1
B0183RZ2VI,B0183RZ2VI,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Naranja,103,1,52,7,155,8,0.0038,0.0023,0.0039000000000000003,0.011399999999999999,0.0038,0.0077,162,1,82,17,244,18,0.004,0.0016,0.0046,0.0196,0.0042,0.012,0.8632,0.5333,29,0,0.18710000000000002,0.0,585.7,0.0,27,0
B0D87X42RN,B0D87X42RN,TUBOPLUS X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Dorado,286,4,137,12,423,16,0.0105,0.009399999999999999,0.0102,0.0196,0.0104,0.0154,387,9,173,17,560,26,0.0096,0.0144,0.0096,0.0196,0.0096,0.0174,0.9799,1.0,19,0,0.0449,0.0,418.0,0.0,19,0
B0F1F1WKKS,B0F1F4FM85,TUBOPLUS 29PSI X3e - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 3 Pelotas | Bote Hermético | Requiere Bomba de Aire (No Incluida),612,11,215,20,827,31,0.022400000000000003,0.0258,0.0159,0.0327,0.0203,0.029900000000000003,850,14,283,22,1133,36,0.021,0.022400000000000003,0.0158,0.0253,0.0194,0.0241,0.9952,1.0,19,0,0.023,0.0,603.54,0.0,19,0
B0F1F1WKKS,B0F1F2KX6J,TUBOPLUS 29PSI X4e con Bomba - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 4 Pelotas | Bote Hermético | Incluye Inflador con Manómetro,273,3,125,4,398,7,0.01,0.006999999999999999,0.009300000000000001,0.006500000000000001,0.0097,0.0067,355,4,155,6,510,10,0.0088,0.0064,0.0086,0.0069,0.0087,0.0067,0.9911,1.0,12,0,0.0302,0.0,556.77,0.0,11,0
B019Y391L2,B019Y391L2,TUBOPLUS Reposición Junta TÓRICA para TuboX3 y TuboX3 Crystal Ball Pressurizers,50,1,53,0,103,1,0.0018,0.0023,0.0039000000000000003,0.0,0.0025,0.001,95,1,94,0,189,1,0.0023,0.0016,0.0052,0.0,0.0032,0.0007000000000000001,0.9940000000000001,1.0,7,0,0.068,0.0,28.0,0.0,7,0
B01LBC2HV0,B01LBC2GWK,TUBOPLUS Goma Fija-Grip DE Color Rosa para Sujetar EL Grip U OVERGRIP Y NO TENGAS LA Necesidad DE Poner LA Cinta Aislante!!,38,0,64,1,102,1,0.0014000000000000002,0.0,0.004699999999999999,0.0016,0.0025,0.001,53,0,87,1,140,1,0.0013,0.0,0.0048,0.0012,0.0024,0.0007000000000000001,0.9764,1.0,5,0,0.049,0.0,15.0,0.0,3,0
B0F1F1WKKS,B0F1F1D2PR,TUBOPLUS 29PSI X4e - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 4 Pelotas | Bote Hermético | Requiere Bomba de Aire (No Incluida),301,5,108,5,409,10,0.011000000000000001,0.011699999999999999,0.008,0.008199999999999999,0.01,0.0096,361,5,138,9,499,14,0.0089,0.008,0.0077,0.0104,0.0085,0.009399999999999999,0.9956,1.0,3,0,0.0073,0.0,108.53,0.0,3,0
B08B136DB2,B08B136DB2,REPOSICIÓN Junta TÓRICA para TUBOX4,17,0,25,0,42,0,0.0006,0.0,0.0019,0.0,0.001,0.0,38,0,30,0,68,0,0.0009,0.0,0.0017000000000000001,0.0,0.0012,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
B0D22TBKFH,B0CZMGFD3S, ,19,0,3,1,22,1,0.0007000000000000001,0.0,0.0002,0.0016,0.0005,0.001,22,0,3,1,25,1,0.0005,0.0,0.0002,0.0012,0.0004,0.0007000000000000001,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0,0
