fecha,ventas_de_productos_encargados,ventas_de_productos_encargados_b2b,unidades_encargadas,unidades_encargadas_b2b,total_de_articulos_de_un_pedido,total_de_articulos_de_un_pedido_b2b,promedio_de_ventas_por_articulo,promedio_de_ventas_por_pedido_b2b,promedio_de_unidades_por_pedido,promedio_de_unidades_por_pedido_b2b,precio_de_venta_medio,precio_de_venta_medio_b2b,visitas_de_pagina_aplicacion_de_dispositivo_movil,visitas_aplicaciones_de_dispositivos_moviles_b2b,visitas_navegador,visitas_navegador_b2b,visitas_total,visitas_total_b2b,sesiones_aplicaciones_de_dispositivos_moviles,sesiones_aplicaciones_de_dispositivos_moviles_b2b,sesiones_navegador,sesiones_navegador_b2b,sesiones_total,sesiones_total_b2b,porcentaje_de_ofertas_destacadas_buy_box,porcentaje_de_ofertas_destacadas_b2b,porcentaje_de_productos_pedidos_por_sesion,porcentaje_de_articulos_de_un_pedido_encargados_por_sesion_b2b,porcentaje_de_unidades_por_sesion,porcentaje_de_sesiones_de_unidades_b2b,promedio_de_ofertas,promedio_de_productos_parent,unidades_reembolsadas,ratio_de_reembolsos,valoraciones_recibidas,valoraciones_negativas_recibidas,ratio_de_valoraciones_negativas_recibidas,reclamaciones_bajo_la_garantia_de_la_a_a_la_z_concedidas,importe_de_las_reclamaciones,ventas_de_productos_enviados,unidades_enviadas,pedidos_enviados
2025-01-01,382.0,0.0,13,0,13,0,29.38,0.0,10,0,29.38,0.0,193,2,68,0,261,2,134,2,44,0,178,2,0.9238,1.0,0.073,0.0,0.073,0.0,6,6,1,0.07690000000000001,0,0,0.0,0,0.0,0.0,0,0
2025-01-02,521.94,0.0,18,0,18,0,29.0,0.0,10,0,29.0,0.0,212,2,92,0,304,2,142,2,72,0,214,2,1.0,1.0,0.08410000000000001,0.0,0.08410000000000001,0.0,5,5,3,0.16670000000000001,0,0,0.0,0,0.0,991.15,41,41
2025-01-03,158.99,0.0,4,0,4,0,39.75,0.0,10,0,39.75,0.0,91,0,44,0,135,0,64,0,35,0,99,0,0.9915,0.0,0.0404,0.0,0.0404,0.0,5,5,2,0.5,0,0,0.0,0,0.0,487.31,19,19
2025-01-04,131.96,0.0,4,0,4,0,32.99,0.0,10,0,32.99,0.0,89,4,44,2,133,6,69,3,32,1,101,4,0.9831,1.0,0.039599999999999996,0.0,0.039599999999999996,0.0,6,5,0,0.0,0,0,0.0,0,0.0,34.71,1,1
2025-01-05,36.99,0.0,2,0,2,0,18.5,0.0,10,0,18.5,0.0,86,0,31,4,117,4,65,0,24,3,89,3,0.9909,1.0,0.0225,0.0,0.0225,0.0,6,5,1,0.5,1,0,0.0,0,0.0,131.96,4,4
2025-01-06,186.97,0.0,6,0,6,0,31.16,0.0,10,0,31.16,0.0,112,0,61,0,173,0,77,0,44,0,121,0,1.0,0.0,0.0496,0.0,0.0496,0.0,5,5,2,0.3333,0,0,0.0,0,0.0,65.98,2,2
2025-01-07,116.99,0.0,3,0,3,0,39.0,0.0,10,0,39.0,0.0,129,2,76,4,205,6,101,2,56,3,157,5,0.6979000000000001,0.4,0.0191,0.0,0.0191,0.0,6,6,7,2.3333,0,0,0.0,0,0.0,209.72,8,8
2025-01-08,54.99,0.0,2,0,2,0,27.5,0.0,10,0,27.5,0.0,103,3,68,0,171,3,73,2,47,0,120,2,0.6076,1.0,0.0167,0.0,0.0167,0.0,6,5,0,0.0,0,0,0.0,0,0.0,133.68,4,4
2025-01-09,107.98,0.0,3,0,3,0,35.99,0.0,10,0,35.99,0.0,92,1,74,2,166,3,68,1,51,1,119,2,0.7059000000000001,1.0,0.0252,0.0,0.0252,0.0,8,8,6,2.0,0,0,0.0,0,0.0,51.17,2,2
2025-01-10,136.99,0.0,5,0,5,0,27.4,0.0,10,0,27.4,0.0,86,3,40,0,126,3,58,2,31,0,89,2,0.9098999999999999,0.0,0.0562,0.0,0.0562,0.0,5,5,4,0.8,0,0,0.0,0,0.0,102.41,4,4
2025-01-11,32.99,0.0,1,0,1,0,32.99,0.0,10,0,32.99,0.0,71,1,27,0,98,1,52,1,21,0,73,1,0.9886,0.0,0.0137,0.0,0.0137,0.0,5,5,1,1.0,0,0,0.0,0,0.0,34.71,1,1
2025-01-12,203.94,32.99,8,1,7,1,29.13,32.99,114,10,25.49,32.99,137,6,36,1,173,7,86,5,28,1,114,6,0.774,1.0,0.061399999999999996,0.16670000000000001,0.0702,0.16670000000000001,5,5,0,0.0,0,0,0.0,0,0.0,32.99,1,1
2025-01-13,96.99,0.0,3,0,3,0,32.33,0.0,10,0,32.33,0.0,101,3,70,3,171,6,65,3,54,3,119,6,0.96,1.0,0.0252,0.0,0.0252,0.0,6,6,3,1.0,0,0,0.0,0,0.0,270.6,10,9
2025-01-14,92.59,32.99,3,1,3,1,30.86,32.99,10,10,30.86,32.99,122,8,66,2,188,10,83,4,51,2,134,6,0.9059,1.0,0.022400000000000003,0.16670000000000001,0.022400000000000003,0.16670000000000001,5,5,1,0.3333,0,0,0.0,0,0.0,80.53,3,3
2025-01-15,126.0,0.0,3,0,3,0,42.0,0.0,10,0,42.0,0.0,137,0,36,3,173,3,91,0,33,3,124,3,0.9933,1.0,0.0242,0.0,0.0242,0.0,5,5,1,0.3333,0,0,0.0,0,0.0,69.42,3,3
2025-01-16,168.0,0.0,4,0,4,0,42.0,0.0,10,0,42.0,0.0,166,3,55,4,221,7,109,2,42,2,151,4,0.9723999999999999,1.0,0.0265,0.0,0.0265,0.0,5,5,1,0.25,0,0,0.0,0,0.0,138.84,4,4
2025-01-17,116.99,0.0,3,0,3,0,39.0,0.0,10,0,39.0,0.0,132,6,65,4,197,10,88,3,47,4,135,7,0.9823999999999999,1.0,0.0222,0.0,0.0222,0.0,6,6,1,0.3333,0,0,0.0,0,0.0,138.84,4,4
2025-01-18,338.33,0.0,10,0,10,0,33.83,0.0,10,0,33.83,0.0,230,3,100,2,330,5,161,3,77,2,238,5,0.9612999999999999,1.0,0.042,0.0,0.042,0.0,10,10,0,0.0,0,0,0.0,0,0.0,137.12,4,4
2025-01-19,133.65,0.0,6,0,5,0,26.73,0.0,12,0,22.28,0.0,160,4,72,0,232,4,100,2,48,0,148,2,0.8454,0.25,0.0338,0.0,0.0405,0.0,4,4,0,0.0,0,0,0.0,0,0.0,122.31,4,4
2025-01-20,74.99,0.0,2,0,2,0,37.5,0.0,10,0,37.5,0.0,69,1,35,0,104,1,44,1,28,0,72,1,0.8604999999999999,1.0,0.0278,0.0,0.0278,0.0,4,4,1,0.5,0,0,0.0,0,0.0,94.96,3,3
2025-01-21,65.98,0.0,2,0,2,0,32.99,0.0,10,0,32.99,0.0,37,1,18,2,55,3,28,1,13,1,41,2,0.9795999999999999,1.0,0.048799999999999996,0.0,0.048799999999999996,0.0,4,4,1,0.5,0,0,0.0,0,0.0,34.71,1,1
2025-01-22,65.98,0.0,2,0,2,0,32.99,0.0,10,0,32.99,0.0,137,1,45,1,182,2,94,1,35,1,129,2,0.8462000000000001,1.0,0.0155,0.0,0.0155,0.0,10,10,2,1.0,0,0,0.0,0,0.0,65.98,2,2
2025-01-23,300.99,0.0,11,0,10,0,30.1,0.0,11,0,27.36,0.0,245,1,95,10,340,11,165,1,84,8,249,9,0.9322,0.8,0.04019999999999999,0.0,0.044199999999999996,0.0,10,10,0,0.0,0,0,0.0,0,0.0,191.66,8,7
2025-01-24,110.46,0.0,5,0,5,0,22.09,0.0,10,0,22.09,0.0,213,4,74,7,287,11,151,3,59,6,210,9,0.996,1.0,0.023799999999999998,0.0,0.023799999999999998,0.0,10,10,3,0.6,0,0,0.0,0,0.0,112.26,4,4
2025-01-25,214.0,0.0,8,0,8,0,26.75,0.0,10,0,26.75,0.0,265,2,57,1,322,3,177,2,46,1,223,3,0.9732,1.0,0.0359,0.0,0.0359,0.0,10,10,0,0.0,0,0,0.0,0,0.0,114.05,6,6
2025-01-26,370.32,39.99,14,1,14,1,26.45,39.99,10,10,26.45,39.99,384,11,115,2,499,13,257,7,88,2,345,9,0.9851000000000001,1.0,0.0406,0.11109999999999999,0.0406,0.11109999999999999,10,10,0,0.0,0,0,0.0,0,0.0,236.37,11,11
2025-01-27,280.0,0.0,12,0,11,0,25.45,0.0,109,0,23.33,0.0,269,10,119,19,388,29,164,5,88,12,252,17,0.9749,0.875,0.0437,0.0,0.047599999999999996,0.0,10,10,0,0.0,0,0,0.0,0,0.0,368.59,19,19
