"return-date","order-id","sku","asin","fnsku","product-name","quantity","fulfillment-center-id","detailed-disposition","reason","status","license-plate-number","customer-comments"
"2025-07-18T19:23:29+00:00","408-1338767-0820369","TUBOX4-CRY-SB","B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables","1","BCN1","SELLABLE","UNDELIVERABLE_REFUSED","Unit returned to inventory","LPNWE255457219",
"2025-07-17T19:33:53+00:00","404-4821919-3513168","TUBOX4-CRY-SB","B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables","1","MAD4","SELLABLE","DEFECTIVE","Unit returned to inventory","LPNWE324858712","No trae bomba específica y no nos vale."
"2025-07-17T11:51:04+00:00","402-3632602-3809101","4R-VSV0-WZ9Z","B0D87X42RN","X00231GYQL","Tubo Plus X3 - Pressurisateur de Balles de Padel et de Tennis | Boîte Hermétique pour Maintenir la Pression et Récupérer Le Rebond | Capacité: 3 Balles | Pompe Non Incluse - Doré","1","BTS2","DEFECTIVE","DEFECTIVE","Unit returned to inventory","LPNRP046996324","Impossible de l’ouvrir, sauf en le cassant ! Vous me devez 3 balles !"
"2025-07-15T23:45:16+00:00","305-0117022-0501905","TUBOX4-CRY-SB","B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör","1","BTS2","SELLABLE","NO_REASON_GIVEN","Unit returned to inventory","LPNHE978271938",
"2025-07-15T04:58:07+00:00","404-9743795-1439508","29PSIX3_SB","B0F1F4FM85","X0029D0DRJ","TUBOPLUS 29PSI X3e - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 3 Pelotas | Bote Hermético | Requiere Bomba de Aire (No Incluida)","1","MAD4","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNWE315187160",
"2025-07-14T18:51:49+00:00","407-9602386-8245133","TUBOX4-CRY-SB","B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables","1","MAD4","SELLABLE","UNDELIVERABLE_UNKNOWN","Unit returned to inventory","LPNWE316523102",
"2025-07-14T16:53:58+00:00","304-9159389-1059510","TUBOX4-CRY-SB","B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör","1","BTS2","SELLABLE","MISSED_ESTIMATED_DELIVERY","Unit returned to inventory","LPNHE965278646",
"2025-07-14T11:42:29+00:00","402-8416379-6905107","TUBOX3-WHI","B0BTDTVCG2","X001PQP7JP","Tubo Plus X3 - Pressurisateur de Balles de Padel et de Tennis | Boîte Hermétique pour Maintenir la Pression et Récupérer Le Rebond | Capacité: 3 Balles | Pompe Non Incluse - Blanc","1","ORY1","SELLABLE","UNDELIVERABLE_REFUSED","Unit returned to inventory","LPNIC128854686",
"2025-07-14T05:32:03+00:00","171-7366696-9707526","UG-965T-RORR","B07ZTHSVCK","X0013ZBBK7","TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel","1","MAD4","DEFECTIVE","DEFECTIVE","Unit returned to inventory","LPNRP051193405","No hace la función deseada!"
"2025-07-13T20:03:35+00:00","406-9424905-6451550","MD-R60M-OYR1","B0786KK4TG","X002326XGB","Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul","1","MAD4","SELLABLE","UNDELIVERABLE_UNKNOWN","Unit returned to inventory","LPNWE324324784",
