"seller-sku","fulfillment-channel-sku","asin","condition-type","Warehouse-Condition-code","Quantity Available"
"amzn.gr.35-DQ86-IJB4-fTLSzi4gJVA4QQTp-LN","X0026LL7KV","B09266N893","UsedLikeNew","SELLABLE","0"
"amzn.gr.84-F0A5-X7S1-_UJ1LYrSMkuovvHl-PO","X001YQTF67","B07ZTHSVCK","UsedPoor","SELLABLE","0"
"amzn.gr.35-DQ86-IJB4-LqoCkAuX_WJmEtcm-AC","X001WZYUT7","B09266N893","UsedAcceptable","SELLABLE","0"
"amzn.gr.84-F0A5-X7S1-HkXi8-nsgu2plo1A-LN","X001YL5647","B07ZTHSVCK","UsedLikeNew","SELLABLE","0"
"29PSIX4_SB","X0029D5M9D","B0F1F1D2PR","NewItem","SELLABLE","123"
"amzn.gr.35-DQ86-IJB4-cMhQvld9F6f3U1oE-PO","X0020866RT","B09266N893","UsedPoor","SELLABLE","0"
"TUBOX3-WHI","X001PQP7JP","B0BTDTVCG2","NewItem","SELLABLE","151"
"0N-XIX1-FPL9","X00209ZLGP","B0D1Z9TGWZ","NewItem","SELLABLE","0"
"amzn.gr.UG-965T-RORR-M01I5X9U6LFBWEOs-AC","X00205E76J","B07ZTHSVCK","UsedAcceptable","SELLABLE","0"
"Long Pump","X002CXPWY5","B0FJ21G5NP","NewItem","SELLABLE","0"
"9Q-MR4J-CEER","X001QTJWHT","B07RWD1FJR","NewItem","SELLABLE","0"
"HT-BJBV-QTTS","X0015VEIO5","B0786DC1T3","NewItem","SELLABLE","0"
"amzn.gr.JW-4PNV-18BT-7mvIlfwyJAGYIiYa-PO","X0026ZSRVT","B0CZMGFD3S","UsedPoor","SELLABLE","0"
"amzn.gr.TUBOX4-CRY-SB--xovQiScoaaHkfH-PO","X001YBFKWF","B0BTDS4GYS","UsedPoor","SELLABLE","0"
"amzn.gr.MD-R60M-OYR1-1GVEQyqxksSjUGFT-PO","X00299IQFJ","B0786KK4TG","UsedPoor","SELLABLE","0"
"IV-MHE4-I64R","X001I9M9Q3","B08B136DB2","NewItem","SELLABLE","0"
"29PSIX3_SB","X0029D0DRJ","B0F1F4FM85","NewItem","SELLABLE","108"
"29PSIX3_SB","X0029D0DRJ","B0F1F4FM85","NewItem","UNSELLABLE","1"
"29PSIX3_CB_2","X0029D24LR","B0F1F2PQPK","NewItem","SELLABLE","48"
