"sku","fnsku","asin","product-name","condition","your-price","mfn-listing-exists","mfn-fulfillable-quantity","afn-listing-exists","afn-warehouse-quantity","afn-fulfillable-quantity","afn-unsellable-quantity","afn-reserved-quantity","afn-total-quantity","per-unit-volume","afn-inbound-working-quantity","afn-inbound-shipped-quantity","afn-inbound-receiving-quantity","afn-researching-quantity","afn-reserved-future-supply","afn-future-supply-buyable","afn-fulfillable-quantity-local","afn-fulfillable-quantity-remote","store"
"29PSIX3_CB_2","X0029D24LR","B0F1F2PQPK","TUBOPLUS 29PSI X3e con Bomba - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 3 Pelotas | Bote Hermético | Incluye Inflador con Manómetro","New","42.00","No",,"Yes","54","48","0","6","54","1835.35","0","0","0","0","0","0","48","0",
"29PSIX3_SB","X0029D0DRJ","B0F1F4FM85","TUBOPLUS 29PSI X3e - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 3 Pelotas | Bote Hermético | Requiere Bomba de Aire (No Incluida)","New","33.00","No",,"Yes","110","108","1","0","110","1983.49","0","0","0","1","0","0","108","0",
"29PSIX4_CB","X0029D6HAL","B0F1F2KX6J","TUBOPLUS 29PSI X4e con Bomba - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 4 Pelotas | Bote Hermético | Incluye Inflador con Manómetro","New","47.00","No",,"Yes","98","93","0","5","98","2509.68","0","0","0","0","0","0","93","0",
"29PSIX4_SB","X0029D5M9D","B0F1F1D2PR","TUBOPLUS 29PSI X4e - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 4 Pelotas | Bote Hermético | Requiere Bomba de Aire (No Incluida)","New","38.00","No",,"Yes","125","123","0","2","125","2384.81","0","0","0","0","0","0","123","0",
"4R-VSV0-WZ9Z","X00231GYQL","B0D87X42RN","TUBOPLUS X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Dorado","New","18.00","No",,"Yes","89","87","0","2","89","1397.16","0","0","0","0","0","128","87","0",
"IB-IKLG-TV8H","X000GERVU5","B0183RZ2VI","Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Naranja","New","20.00","No",,"Yes","85","78","0","5","85","1380.45","0","0","0","2","0","0","78","0",
"Long Pump","X002CXPWY5","B0FJ21G5NP","TUBOPLUS Bomba de Aire Manual de Aluminio, 27 cm, Manómetro 360°, Compatible Schrader/Presta, 80 PSI, Azul","New","25.00","No",,"Yes","0","0","0","0","0","674.98","0","0","0","0","0","0","0","0",
"MD-R60M-OYR1","X002326XGB","B0786KK4TG","Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul","New","20.00","No",,"Yes","132","124","0","7","132","1389.95","0","0","0","1","0","0","124","0",
"Short_Pump","X002CXNOJ5","B0FJ222VZC","Bomba de Aire Manual con Manómetro 22cm – Alta Presión 80 PSI – Compatible Schrader/Presta – Aluminio Premium – para Bicicletas, Balones, Fútbol, Baloncesto","New","20.00","No",,"Yes","0","0","0","0","0","549.95","0","0","0","0","0","0","0","0",
"TUBOX3-PINK","X001PQRHT3","B0BTDTN52N","TUBOPLUS X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Rosa","New","20.00","No",,"Yes","55","54","0","1","55","1427.97","0","0","0","0","0","0","54","0",
"TUBOX3-WHI","X001PQP7JP","B0BTDTVCG2","Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Blanco","New","20.00","No",,"Yes","152","151","0","0","152","1358","0","0","0","1","0","0","151","0",
"TUBOX4-CRY-SB","X001PQP7KJ","B0BTDS4GYS","TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables","New","25.00","No",,"Yes","145","138","0","5","145","2215.53","0","0","0","2","0","0","138","0",
"TuboX4_Cry_parent","X002CZVVBB","B0FJ26WDS7","TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal | Compresor para Pelotas | Accesorios indispensables","New","0.00","No",,"Yes","0","0","0","0","0",,"0","0","0","0","0","0","0","0",
"UG-965T-RORR","X0013ZBBK7","B07ZTHSVCK","TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel","New","40.99","No",,"Yes","291","289","1","1","291","2180.3","0","0","0","0","0","0","289","0",
"X4CRY_CB","X002CXSERH","B0FJ26WDS7","TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel","New","42.00","No",,"Yes","0","0","0","0","0","2510.99","0","0","0","0","0","0","0","0",
"X4Crystal_SB","X002CXP96V","B0FJ238RVM","TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal | Compresor para Pelotas | Accesorios indispensables (X4 sin Bomba)","New","29.00","No",,"Yes","0","0","0","0","0","2510.99","0","0","0","0","0","0","0","0",
