"asin","fnsku","product_name","fulfillment_center","country_code","longest_side","median_side","shortest_side","measurement_units","weight","weight_units","item_volume","volume_units","product_size_tier","average_quantity_on_hand","average_quantity_pending_removal","estimated_total_item_volume","month_of_charge","storage_utilization_ratio","storage_utilization_ratio_units","base_rate","utilization_surcharge_rate","avg_qty_for_sus","est_vol_for_sus","est_base_msf","est_sus","currency","estimated_monthly_storage_fee","category","eligible_for_inventory_discount","qualifies_for_inventory_discount","total_incentive_fee_amount","breakdown_incentive_fee_amount","average_quantity_customer_orders"
"B0786KK4TG","X002326XGB","TUBOPLUS - TuboX3- Ball Pressurizer for Tennis and Padel - Blue Color","'CWL1'","GB","19.7","8.4","8.4","centimeters","0.3","kilograms","0.0491","cubic feet","Standard-Size","1.0","0.0","0.0491","2025-05",">52","weeks","0.76","0.0","1.0","0.0491","0.04","0.0","GBP","0.04","Others","N","N","0.0","--","0.0"
"B0BTDTVCG2","X001PQP7JP","TUBOPLUS TuboX3 Tennis- und Padelballdrucker | Weiß","'DEU1'","DE","20.2","8.3","8.1","centimeters","0.3","kilograms","0.0014","cubic meters","Standard-Size","0.68","0.0","9.0E-4","2025-05","9.1","weeks","27.54","0.0","0.68","9.0E-4","0.0239","0.0","EUR","0.0239","Others","N","N","0.0","--","0.0"
"B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör","'DEU1'","DE","31.4","8.8","8.7","centimeters","0.43","kilograms","0.0024","cubic meters","Standard-Size","0.1","0.0","2.0E-4","2025-05","9.1","weeks","27.54","0.0","0.1","2.0E-4","0.0061","0.0","EUR","0.0061","Others","N","N","0.0","--","0.0"
"B0183RZ2VI","X000GERVU5","TUBOPLUS Behälter Steht unter Druck (BLAU) Tennis/Padel","'DUS2'","DE","20.0","9.0","9.0","centimeters","0.32","kilograms","0.0016","cubic meters","Standard-Size","0.84","0.0","0.0014","2025-05","9.1","weeks","27.54","0.0","0.84","0.0014","0.0384","0.0","EUR","0.0384","Others","N","N","0.0","--","0.0"
"B07ZTHSVCK","X0013ZBBK7","TUBOPLUS POLICARBONATO UG-965T-RORR Tubox4 Crystal + Pumpe mit Manometer Beto-Tennis-und Paddelbälle, Transparent, 4 Pelotas","'DUS2'","DE","30.8","8.6","8.2","centimeters","0.6","kilograms","0.0022","cubic meters","Standard-Size","0.84","0.0","0.0018","2025-05","9.1","weeks","27.54","0.0","0.84","0.0018","0.0515","0.0","EUR","0.0515","Others","N","N","0.0","--","0.0"
"B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör","'DUS2'","DE","31.4","8.8","8.7","centimeters","0.43","kilograms","0.0024","cubic meters","Standard-Size","0.26","0.0","6.0E-4","2025-05","9.1","weeks","27.54","0.0","0.26","6.0E-4","0.0175","0.0","EUR","0.0175","Others","N","N","0.0","--","0.0"
"B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör","'DUS2'","DE","31.4","8.8","8.7","centimeters","0.43","kilograms","0.0024","cubic meters","Standard-Size","0.77","0.0","0.0019","2025-05","9.1","weeks","27.54","0.0","0.77","0.0019","0.0526","0.0","EUR","0.0526","Others","N","N","0.0","--","0.0"
"B0183RZ2VI","X000GERVU5","TUBOPLUS Behälter Steht unter Druck (BLAU) Tennis/Padel","'DUS4'","DE","20.0","9.0","9.0","centimeters","0.32","kilograms","0.0016","cubic meters","Standard-Size","1.0","0.0","0.0016","2025-05","9.1","weeks","27.54","0.0","0.68","0.0011","0.0446","0.0","EUR","0.0446","Others","N","N","0.0","--","0.0"
"B0BTDTVCG2","X001PQP7JP","TUBOPLUS TuboX3 Tennis- und Padelballdrucker | Weiß","'DUS4'","DE","20.2","8.3","8.1","centimeters","0.3","kilograms","0.0014","cubic meters","Standard-Size","1.0","0.0","0.0014","2025-05","9.1","weeks","27.54","0.0","1.0","0.0014","0.0374","0.0","EUR","0.0374","Others","N","N","0.0","--","0.0"
"B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör","'DUS4'","DE","31.4","8.8","8.7","centimeters","0.43","kilograms","0.0024","cubic meters","Standard-Size","3.0","0.0","0.0072","2025-05","9.1","weeks","27.54","0.0","1.65","0.004","0.1984","0.0","EUR","0.1984","Others","N","N","0.0","--","0.0"
"B07ZTHSVCK","X001T0EPOZ","TUBOPLUS POLICARBONATO UG-965T-RORR Tubox4 Crystal + Pumpe mit Manometer Beto-Tennis-und Paddelbälle, Transparent, 4 Pelotas","'DUS4'","DE","30.9","8.4","8.4","centimeters","0.81","kilograms","0.0022","cubic meters","Standard-Size","1.0","0.0","0.0022","2025-05","9.1","weeks","27.54","0.0","1.0","0.0022","0.06","0.0","EUR","0.06","Others","N","N","0.0","--","0.0"
"B0D1Z9TGWZ","X00209ZLGP","TUBOPLUS 29PSI X4e (keine Luftpumpe im Lieferumfang enthalten)","'DUS4'","DE","30.8","9.0","8.9","centimeters","0.3","kilograms","0.0025","cubic meters","Standard-Size","1.0","0.0","0.0025","2025-05","9.1","weeks","27.54","0.0","1.0","0.0025","0.0679","0.0","EUR","0.0679","Others","N","N","0.0","--","0.0"
"B0D22R7L7D","X0020AR9P5","TUBOPLUS 29 PSI X3e (ohne Luftpumpe)","'DUS4'","DE","25.2","8.8","8.7","centimeters","0.25","kilograms","0.0019","cubic meters","Standard-Size","1.0","0.1","0.0017","2025-05","9.1","weeks","27.54","0.0","0.9","0.0017","0.0479","0.0","EUR","0.0479","Others","N","N","0.0","--","0.0"
