ASIN (parent),ASIN (child),Título,SKU,Sesiones: aplicaciones de dispositivos móviles,Sesiones: aplicaciones de dispositivos móviles - B2B,Sesiones: navegador,Sesiones - Navegador - B2B,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: aplicación móvil,Porcentaje de sesiones - Aplicación móvil - B2B,Porcentaje de sesiones: navegador,Porcentaje de sesiones: navegador - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas de página: aplicación de dispositivo móvil	,Visitas: aplicaciones de dispositivos móviles - B2B,Visitas: navegador,Visitas - Navegador - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas a la página: aplicación móvil,Porcentaje de visitas: aplicación móvil - B2B,Porcentaje de visitas: navegador,Porcentaje de visitas: navegador - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B0BTDS4GYS,B0BTDS4GYS,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,TUBOX4-CRY-SB,"7,484",78,"3,591",80,"11,075",158,14.60%,10.25%,14.19%,7.89%,14.46%,8.90%,"11,675",118,"5,023",114,"16,698",232,15.14%,10.48%,14.74%,7.94%,15.02%,9.06%,89.64%,34.18%,540,1,4.88%,0.63%,"13.859,70 €","25,00 €",527,1
B094X476RL,B0786KK4TG,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul,MD-R60M-OYR1,"4,547",98,"2,348",139,"6,895",237,8.87%,12.88%,9.28%,13.71%,9.00%,13.35%,"7,023",154,"3,120",196,"10,143",350,9.11%,13.68%,9.16%,13.66%,9.12%,13.67%,98.24%,96.71%,441,16,6.40%,6.75%,"8.973,40 €","326,53 €",432,15
B07ZTHSVCK,B07ZTHSVCK,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,UG-965T-RORR,"3,270",60,"1,694",98,"4,964",158,6.38%,7.88%,6.69%,9.66%,6.48%,8.90%,"4,648",95,"2,153",139,"6,801",234,6.03%,8.44%,6.32%,9.69%,6.12%,9.14%,99.17%,100.00%,224,11,4.51%,6.96%,"9.394,80 €","441,90 €",221,10
B0BTDTVCG2,B0BTDTVCG2,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Blanco,TUBOX3-WHI,"1,744",24,765,35,"2,509",59,3.40%,3.15%,3.02%,3.45%,3.28%,3.32%,"2,636",44,974,43,"3,610",87,3.42%,3.91%,2.86%,3.00%,3.25%,3.40%,92.99%,48.39%,192,5,7.65%,8.47%,"3.839,50 €","96,53 €",185,4
B094X476RL,B0BTDTVCG2,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Blanco,TUBOX3-WHI,"1,664",16,792,42,"2,456",58,3.25%,2.10%,3.13%,4.14%,3.21%,3.27%,"2,462",17,"1,046",70,"3,508",87,3.19%,1.51%,3.07%,4.88%,3.16%,3.40%,91.49%,60.78%,157,2,6.39%,3.45%,"3.127,87 €","33,06 €",152,2
B094X476RL,B0D87X42RN,TUBOPLUS X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Dorado,4R-VSV0-WZ9Z,577,9,317,22,894,31,1.13%,1.18%,1.25%,2.17%,1.17%,1.75%,762,11,417,32,"1,179",43,0.99%,0.98%,1.22%,2.23%,1.06%,1.68%,99.02%,100.00%,117,3,13.09%,9.68%,"2.355,68 €","58,00 €",113,3
B0C7B3V62X,B07ZTHSVCK,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,UG-965T-RORR,"3,306",63,"1,688",60,"4,994",123,6.45%,8.28%,6.67%,5.92%,6.52%,6.93%,"4,744",88,"2,155",80,"6,899",168,6.15%,7.82%,6.33%,5.57%,6.21%,6.56%,98.37%,100.00%,95,5,1.90%,4.07%,"3.975,47 €","199,95 €",94,5
B0C7B3V62X,B07ZTHSVCK,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,84-F0A5-X7S1,"3,306",63,"1,688",60,"4,994",123,6.45%,8.28%,6.67%,5.92%,6.52%,6.93%,"4,744",88,"2,155",80,"6,899",168,6.15%,7.82%,6.33%,5.57%,6.21%,6.56%,98.37%,100.00%,82,0,1.64%,0.00%,"3.445,94 €","0,00 €",81,0
B094X476RL,B0183RZ2VI,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Naranja,IB-IKLG-TV8H,828,12,490,33,"1,318",45,1.61%,1.58%,1.94%,3.25%,1.72%,2.54%,"1,110",13,618,44,"1,728",57,1.44%,1.15%,1.81%,3.07%,1.55%,2.23%,55.40%,26.47%,60,1,4.55%,2.22%,"1.177,59 €","16,53 €",59,1
B094X476RL,B0BTDTN52N,TUBOPLUS X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Rosa,TUBOX3-PINK,394,9,193,18,587,27,0.77%,1.18%,0.76%,1.78%,0.77%,1.52%,515,12,253,32,768,44,0.67%,1.07%,0.74%,2.23%,0.69%,1.72%,99.37%,100.00%,59,2,10.05%,7.41%,"1.184,66 €","40,00 €",53,2
B0D22TBKFH,B0D22R7L7D, ,MK-78DJ-J0C2,"1,161",22,512,21,"1,673",43,2.26%,2.89%,2.02%,2.07%,2.18%,2.42%,"1,679",29,706,26,"2,385",55,2.18%,2.58%,2.07%,1.81%,2.15%,2.15%,99.16%,100.00%,53,3,3.17%,6.98%,"1.748,47 €","98,97 €",53,3
B0F1F1WKKS,B0F1F2PQPK,TUBOPLUS 29PSI X3e con Bomba - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 3 Pelotas | Bote Hermético | Incluye Inflador con Manómetro,29PSIX3_CB_2,413,7,209,10,622,17,0.81%,0.92%,0.83%,0.99%,0.81%,0.96%,566,7,297,12,863,19,0.73%,0.62%,0.87%,0.84%,0.78%,0.74%,99.73%,100.00%,49,1,7.88%,5.88%,"1.982,31 €","42,00 €",47,1
B0BTDTN52N,B0BTDTN52N,TUBOPLUS X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Rosa,TUBOX3-PINK,246,3,108,4,354,7,0.48%,0.39%,0.43%,0.39%,0.46%,0.39%,372,4,142,7,514,11,0.48%,0.36%,0.42%,0.49%,0.46%,0.43%,92.89%,100.00%,36,1,10.17%,14.29%,"792,36 €","22,00 €",35,1
B0183RZ2VI,B0183RZ2VI,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Naranja,IB-IKLG-TV8H,103,1,52,7,155,8,0.20%,0.13%,0.21%,0.69%,0.20%,0.45%,162,1,82,17,244,18,0.21%,0.09%,0.24%,1.18%,0.22%,0.70%,86.32%,53.33%,29,0,18.71%,0.00%,"585,70 €","0,00 €",27,0
B0D87X42RN,B0D87X42RN,TUBOPLUS X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Dorado,4R-VSV0-WZ9Z,286,4,137,12,423,16,0.56%,0.53%,0.54%,1.18%,0.55%,0.90%,387,9,173,17,560,26,0.50%,0.80%,0.51%,1.18%,0.50%,1.02%,97.99%,100.00%,19,0,4.49%,0.00%,"418,00 €","0,00 €",19,0
B0F1F1WKKS,B0F1F4FM85,TUBOPLUS 29PSI X3e - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 3 Pelotas | Bote Hermético | Requiere Bomba de Aire (No Incluida),29PSIX3_SB,612,11,215,20,827,31,1.19%,1.45%,0.85%,1.97%,1.08%,1.75%,850,14,283,22,"1,133",36,1.10%,1.24%,0.83%,1.53%,1.02%,1.41%,99.52%,100.00%,19,0,2.30%,0.00%,"603,54 €","0,00 €",19,0
B0F1F1WKKS,B0F1F2KX6J,TUBOPLUS 29PSI X4e con Bomba - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 4 Pelotas | Bote Hermético | Incluye Inflador con Manómetro,29PSIX4_CB,273,3,125,4,398,7,0.53%,0.39%,0.49%,0.39%,0.52%,0.39%,355,4,155,6,510,10,0.46%,0.36%,0.45%,0.42%,0.46%,0.39%,99.11%,100.00%,12,0,3.02%,0.00%,"556,77 €","0,00 €",11,0
B019Y391L2,B019Y391L2,TUBOPLUS Reposición Junta TÓRICA para TuboX3 y TuboX3 Crystal Ball Pressurizers,ES-C9YX-7X8Y,50,1,53,0,103,1,0.10%,0.13%,0.21%,0.00%,0.13%,0.06%,95,1,94,0,189,1,0.12%,0.09%,0.28%,0.00%,0.17%,0.04%,99.40%,100.00%,7,0,6.80%,0.00%,"28,00 €","0,00 €",7,0
B01LBC2HV0,B01LBC2GWK,TUBOPLUS Goma Fija-Grip DE Color Rosa para Sujetar EL Grip U OVERGRIP Y NO TENGAS LA Necesidad DE Poner LA Cinta Aislante!!,1T-ZK3F-CWMR,38,0,64,1,102,1,0.07%,0.00%,0.25%,0.10%,0.13%,0.06%,53,0,87,1,140,1,0.07%,0.00%,0.26%,0.07%,0.13%,0.04%,97.64%,100.00%,5,0,4.90%,0.00%,"15,00 €","0,00 €",3,0
B0F1F1WKKS,B0F1F1D2PR,TUBOPLUS 29PSI X4e - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 4 Pelotas | Bote Hermético | Requiere Bomba de Aire (No Incluida),29PSIX4_SB,301,5,108,5,409,10,0.59%,0.66%,0.43%,0.49%,0.53%,0.56%,361,5,138,9,499,14,0.47%,0.44%,0.41%,0.63%,0.45%,0.55%,99.56%,100.00%,3,0,0.73%,0.00%,"108,53 €","0,00 €",3,0
B094X476RL,B0D87X42RN,TUBOPLUS X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Dorado,amzn.gr.4R-VSV0-WZ9Z-Ta_1Vy_o1Bf4Y8Hm-LN,577,9,317,22,894,31,1.13%,1.18%,1.25%,2.17%,1.17%,1.75%,762,11,417,32,"1,179",43,0.99%,0.98%,1.22%,2.23%,1.06%,1.68%,99.02%,100.00%,2,0,0.22%,0.00%,"30,00 €","0,00 €",2,0
B094X476RL,B0786KK4TG,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul,amzn.gr.MD-R60M-OYR1-41HxW3kwtUaVLwK4-VG,"4,547",98,"2,348",139,"6,895",237,8.87%,12.88%,9.28%,13.71%,9.00%,13.35%,"7,023",154,"3,120",196,"10,143",350,9.11%,13.68%,9.16%,13.66%,9.12%,13.67%,98.24%,96.71%,1,0,0.01%,0.00%,"17,60 €","0,00 €",1,0
B0BTDS4GYS,B0BTDS4GYS,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,amzn.gr.TUBOX4-CRY-SB-8qsTjCHh-850KrB-LN,"7,484",78,"3,591",80,"11,075",158,14.60%,10.25%,14.19%,7.89%,14.46%,8.90%,"11,675",118,"5,023",114,"16,698",232,15.14%,10.48%,14.74%,7.94%,15.02%,9.06%,89.64%,34.18%,1,0,0.01%,0.00%,"20,33 €","0,00 €",1,0
