Fecha,Ventas de productos encargados,Ventas de productos encargados: B2B,Unidades encargadas,Unidades encargadas - B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B,Promedio de ventas por artículo,Promedio de ventas por pedido: B2B,Promedio de unidades por pedido,Promedio de unidades por pedido: B2B,Precio de venta medio,Precio de venta medio - B2B,Visitas de página: aplicación de dispositivo móvil	,Visitas: aplicaciones de dispositivos móviles - B2B,Visitas: navegador,Visitas - Navegador - B2B,Visitas: total,Visitas - Total - B2B,Sesiones: aplicaciones de dispositivos móviles,Sesiones: aplicaciones de dispositivos móviles - B2B,Sesiones: navegador,Sesiones - Navegador - B2B,Sesiones: total,Sesiones - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Porcentaje de productos pedidos por sesión,Porcentaje de artículos de un pedido encargados por sesión: B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Promedio de ofertas,Promedio de productos parent,Unidades reembolsadas,Ratio de reembolsos,Valoraciones recibidas,Valoraciones negativas recibidas,Ratio de valoraciones negativas recibidas,Reclamaciones bajo la Garantía de la A a la Z concedidas,Importe de las reclamaciones,Ventas de productos enviados,Unidades enviadas,Pedidos enviados
1/1/25,"382,00 €","0,00 €",13,0,13,0,"29,38 €","0,00 €",1.00,0.00,"29,38 €","0,00 €",193,2,68,0,261,2,134,2,44,0,178,2,92.38%,100.00%,7.30%,0.00%,7.30%,0.00%,6,6,1,7.69%,0,0,0.00%,0,"0,00 €","0,00 €",0,0
2/1/25,"521,94 €","0,00 €",18,0,18,0,"29,00 €","0,00 €",1.00,0.00,"29,00 €","0,00 €",212,2,92,0,304,2,142,2,72,0,214,2,100.00%,100.00%,8.41%,0.00%,8.41%,0.00%,5,5,3,16.67%,0,0,0.00%,0,"0,00 €","991,15 €",41,41
3/1/25,"158,99 €","0,00 €",4,0,4,0,"39,75 €","0,00 €",1.00,0.00,"39,75 €","0,00 €",91,0,44,0,135,0,64,0,35,0,99,0,99.15%,0.00%,4.04%,0.00%,4.04%,0.00%,5,5,2,50.00%,0,0,0.00%,0,"0,00 €","487,31 €",19,19
4/1/25,"131,96 €","0,00 €",4,0,4,0,"32,99 €","0,00 €",1.00,0.00,"32,99 €","0,00 €",89,4,44,2,133,6,69,3,32,1,101,4,98.31%,100.00%,3.96%,0.00%,3.96%,0.00%,6,5,0,0.00%,0,0,0.00%,0,"0,00 €","34,71 €",1,1
5/1/25,"36,99 €","0,00 €",2,0,2,0,"18,50 €","0,00 €",1.00,0.00,"18,50 €","0,00 €",86,0,31,4,117,4,65,0,24,3,89,3,99.09%,100.00%,2.25%,0.00%,2.25%,0.00%,6,5,1,50.00%,1,0,0.00%,0,"0,00 €","131,96 €",4,4
6/1/25,"186,97 €","0,00 €",6,0,6,0,"31,16 €","0,00 €",1.00,0.00,"31,16 €","0,00 €",112,0,61,0,173,0,77,0,44,0,121,0,100.00%,0.00%,4.96%,0.00%,4.96%,0.00%,5,5,2,33.33%,0,0,0.00%,0,"0,00 €","65,98 €",2,2
7/1/25,"116,99 €","0,00 €",3,0,3,0,"39,00 €","0,00 €",1.00,0.00,"39,00 €","0,00 €",129,2,76,4,205,6,101,2,56,3,157,5,69.79%,40.00%,1.91%,0.00%,1.91%,0.00%,6,6,7,233.33%,0,0,0.00%,0,"0,00 €","209,72 €",8,8
8/1/25,"54,99 €","0,00 €",2,0,2,0,"27,50 €","0,00 €",1.00,0.00,"27,50 €","0,00 €",103,3,68,0,171,3,73,2,47,0,120,2,60.76%,100.00%,1.67%,0.00%,1.67%,0.00%,6,5,0,0.00%,0,0,0.00%,0,"0,00 €","133,68 €",4,4
9/1/25,"107,98 €","0,00 €",3,0,3,0,"35,99 €","0,00 €",1.00,0.00,"35,99 €","0,00 €",92,1,74,2,166,3,68,1,51,1,119,2,70.59%,100.00%,2.52%,0.00%,2.52%,0.00%,8,8,6,200.00%,0,0,0.00%,0,"0,00 €","51,17 €",2,2
10/1/25,"136,99 €","0,00 €",5,0,5,0,"27,40 €","0,00 €",1.00,0.00,"27,40 €","0,00 €",86,3,40,0,126,3,58,2,31,0,89,2,90.99%,0.00%,5.62%,0.00%,5.62%,0.00%,5,5,4,80.00%,0,0,0.00%,0,"0,00 €","102,41 €",4,4
