fecha,nombre_de_la_cartera,tipo_de_campana,nombre_de_campana,pais,estado,divisa,presupuesto,tipo_de_orientacion,estrategia_de_pujas,impresiones,impresiones_del_ano_pasado,clics,clics_del_ano_pasado,porcentaje_de_clics_ctr,gasto,coste_por_clic_cpc,coste_por_clic_cpc_del_ano_pasado,pedidos_totales_de_7_dias_#,coste_publicitario_de_las_ventas_acos_total,retorno_de_la_inversion_publicitaria_roas_total,ventas_totales_de_7_dias
2025-06-01 00:00:00+00:00,No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0BTDTVCG2 - 7/11/2024 14:46:29,España,PAUSED,EUR,5.0,Segmentación manual,Pujas dinámicas: solo a la baja,79,0,2,0,0.02532,0.06,0.03,0.0,0,0.0,0.0,0.0
2025-06-01 00:00:00+00:00,No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0786KK4TG - 7/11/2024 14:46:29,España,PAUSED,EUR,5.0,Segmentación manual,Pujas dinámicas: solo a la baja,371,0,4,0,0.010780000000000001,0.16,0.04,0.0,0,0.0,0.0,0.0
2025-06-01 00:00:00+00:00,No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,20.0,Segmentación automática,ruleBased,8597,0,93,0,0.010820000000000001,25.28,0.271828,0.0,5,0.22328,4.48,113.22
2025-06-02 00:00:00+00:00,No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0BTDTVCG2 - 7/11/2024 14:46:29,España,PAUSED,EUR,5.0,Segmentación manual,Pujas dinámicas: solo a la baja,61,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2025-06-02 00:00:00+00:00,No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0786KK4TG - 7/11/2024 14:46:29,España,PAUSED,EUR,5.0,Segmentación manual,Pujas dinámicas: solo a la baja,156,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2025-06-02 00:00:00+00:00,No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,20.0,Segmentación automática,ruleBased,10668,0,103,0,0.00966,25.28,0.2454369,0.0,3,0.47058999999999995,2.13,53.72
2025-06-03 00:00:00+00:00,No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0BTDTVCG2 - 7/11/2024 14:46:29,España,PAUSED,EUR,5.0,Segmentación manual,Pujas dinámicas: solo a la baja,86,0,2,0,0.02326,0.06,0.03,0.0,0,0.0,0.0,0.0
2025-06-03 00:00:00+00:00,No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,20.0,Segmentación automática,ruleBased,9871,0,125,0,0.01266,24.89,0.19912,0.0,12,0.07364,13.58,338.01
2025-06-03 00:00:00+00:00,No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0786KK4TG - 7/11/2024 14:46:29,España,PAUSED,EUR,5.0,Segmentación manual,Pujas dinámicas: solo a la baja,289,0,4,0,0.013839999999999998,0.12,0.03,0.0,0,0.0,0.0,0.0
2025-06-04 00:00:00+00:00,No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0BTDTVCG2 - 7/11/2024 14:46:29,España,PAUSED,EUR,5.0,Segmentación manual,Pujas dinámicas: solo a la baja,29,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2025-06-04 00:00:00+00:00,No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,20.0,Segmentación automática,ruleBased,10336,0,99,0,0.00958,18.05,0.1823232,0.0,11,0.07091,14.1,254.54
2025-06-04 00:00:00+00:00,No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0786KK4TG - 7/11/2024 14:46:29,España,PAUSED,EUR,5.0,Segmentación manual,Pujas dinámicas: solo a la baja,143,0,1,0,0.00699,0.05,0.05,0.0,0,0.0,0.0,0.0
2025-06-05 00:00:00+00:00,No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0BTDTVCG2 - 7/11/2024 14:46:29,España,PAUSED,EUR,5.0,Segmentación manual,Pujas dinámicas: solo a la baja,174,0,6,0,0.03448,0.18,0.03,0.0,1,0.01089,91.83,16.53
2025-06-05 00:00:00+00:00,No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0786KK4TG - 7/11/2024 14:46:29,España,PAUSED,EUR,5.0,Segmentación manual,Pujas dinámicas: solo a la baja,632,0,2,0,0.00316,0.08,0.04,0.0,0,0.0,0.0,0.0
2025-06-05 00:00:00+00:00,No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,20.0,Segmentación automática,ruleBased,3351,0,36,0,0.010739999999999998,7.8,0.2166667,0.0,3,0.13483,7.42,57.85
2025-06-06 00:00:00+00:00,No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0786KK4TG - 7/11/2024 14:46:29,España,PAUSED,EUR,5.0,Segmentación manual,Pujas dinámicas: solo a la baja,623,0,4,0,0.00642,0.12,0.03,0.0,1,0.00726,137.75,16.53
2025-06-06 00:00:00+00:00,No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,20.0,Segmentación automática,ruleBased,1441,0,20,0,0.013879999999999998,5.06,0.253,0.0,2,0.09875,10.13,51.24
